Name,Image,National Number,Type,Species,Height,Weight,Abilities,Local Number,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate,Egg Groups,Gender,Egg cycles,HP,Min HP,Max HP,Attack,Min Attack,Max Attack,Defense,Min Defense,Max Defense,Sp. Atk,Min Sp. Atk,Max Sp. Atk,Sp. Def,Min Sp. Def,Max Sp. Def,Speed,Min Speed,Max Speed,Total,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Bulbasaur,https://img.pokemondb.net/artwork/bulbasaur.jpg,0001,Grass Poison,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),1. OvergrowChlorophyll (hidden ability),0001 (Red/Blue/Yellow)0226 (Gold/Silver/Crystal)0001 (FireRed/LeafGreen)0231 (HeartGold/SoulSilver)0080 (X/Y — Central Kalos)0001 (Let's Go Pikachu/Let's Go Eevee)0068 (The Isle of Armor),1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),64,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",45,200,294,49,92,216,49,92,216,65,121,251,65,121,251,45,85,207,318,100,200,50,50,25,200,50,100,100,200,200,100,100,100,100,100,100,50
Ivysaur,https://img.pokemondb.net/artwork/ivysaur.jpg,0002,Grass Poison,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs),1. OvergrowChlorophyll (hidden ability),0002 (Red/Blue/Yellow)0227 (Gold/Silver/Crystal)0002 (FireRed/LeafGreen)0232 (HeartGold/SoulSilver)0081 (X/Y — Central Kalos)0002 (Let's Go Pikachu/Let's Go Eevee)0069 (The Isle of Armor),"1 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",60,230,324,62,116,245,63,117,247,80,148,284,80,148,284,60,112,240,405,100,200,50,50,25,200,50,100,100,200,200,100,100,100,100,100,100,50
Venusaur,https://img.pokemondb.net/artwork/venusaur.jpg,0003,Grass Poison,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),1. OvergrowChlorophyll (hidden ability),0003 (Red/Blue/Yellow)0228 (Gold/Silver/Crystal)0003 (FireRed/LeafGreen)0233 (HeartGold/SoulSilver)0082 (X/Y — Central Kalos)0003 (Let's Go Pikachu/Let's Go Eevee)0070 (The Isle of Armor),"2 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),236,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",80,270,364,82,152,289,83,153,291,100,184,328,100,184,328,80,148,284,525,100,200,50,50,25,200,50,100,100,200,200,100,100,100,100,100,100,50
Mega Venusaur,https://img.pokemondb.net/artwork/venusaur-mega.jpg,0003,Grass Poison,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),1. OvergrowChlorophyll (hidden ability),0003 (Red/Blue/Yellow)0228 (Gold/Silver/Crystal)0003 (FireRed/LeafGreen)0233 (HeartGold/SoulSilver)0082 (X/Y — Central Kalos)0003 (Let's Go Pikachu/Let's Go Eevee)0070 (The Isle of Armor),"2 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),236,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",80,270,364,82,152,289,83,153,291,100,184,328,100,184,328,80,148,284,525,100,200,50,50,25,200,50,100,100,200,200,100,100,100,100,100,100,50
Charmander,https://img.pokemondb.net/artwork/charmander.jpg,0004,Fire,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),1. BlazeSolar Power (hidden ability),0004 (Red/Blue/Yellow)0229 (Gold/Silver/Crystal)0004 (FireRed/LeafGreen)0234 (HeartGold/SoulSilver)0083 (X/Y — Central Kalos)0004 (Let's Go Pikachu/Let's Go Eevee)0378 (Sword/Shield),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",39,188,282,52,98,223,43,81,203,60,112,240,50,94,218,65,121,251,309,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Charmeleon,https://img.pokemondb.net/artwork/charmeleon.jpg,0005,Fire,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),1. BlazeSolar Power (hidden ability),0005 (Red/Blue/Yellow)0230 (Gold/Silver/Crystal)0005 (FireRed/LeafGreen)0235 (HeartGold/SoulSilver)0084 (X/Y — Central Kalos)0005 (Let's Go Pikachu/Let's Go Eevee)0379 (Sword/Shield),"1 Sp. Atk, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",58,226,320,64,119,249,58,108,236,80,148,284,65,121,251,80,148,284,405,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Charizard,https://img.pokemondb.net/artwork/charizard.jpg,0006,Fire Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),1. BlazeSolar Power (hidden ability),0006 (Red/Blue/Yellow)0231 (Gold/Silver/Crystal)0006 (FireRed/LeafGreen)0236 (HeartGold/SoulSilver)0085 (X/Y — Central Kalos)0006 (Let's Go Pikachu/Let's Go Eevee)0380 (Sword/Shield),3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),267,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,534,100,50,200,200,25,100,50,100,0,100,100,25,400,100,100,100,50,50
Mega Charizard X,https://img.pokemondb.net/artwork/charizard-mega-x.jpg,0006,Fire Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),1. BlazeSolar Power (hidden ability),0006 (Red/Blue/Yellow)0231 (Gold/Silver/Crystal)0006 (FireRed/LeafGreen)0236 (HeartGold/SoulSilver)0085 (X/Y — Central Kalos)0006 (Let's Go Pikachu/Let's Go Eevee)0380 (Sword/Shield),3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),267,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,534,100,50,200,200,25,100,50,100,0,100,100,25,400,100,100,100,50,50
Mega Charizard Y,https://img.pokemondb.net/artwork/charizard-mega-y.jpg,0006,Fire Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),1. BlazeSolar Power (hidden ability),0006 (Red/Blue/Yellow)0231 (Gold/Silver/Crystal)0006 (FireRed/LeafGreen)0236 (HeartGold/SoulSilver)0085 (X/Y — Central Kalos)0006 (Let's Go Pikachu/Let's Go Eevee)0380 (Sword/Shield),3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),267,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,534,100,50,200,200,25,100,50,100,0,100,100,25,400,100,100,100,50,50
Squirtle,https://img.pokemondb.net/artwork/squirtle.jpg,0007,Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),1. TorrentRain Dish (hidden ability),0007 (Red/Blue/Yellow)0232 (Gold/Silver/Crystal)0007 (FireRed/LeafGreen)0237 (HeartGold/SoulSilver)0086 (X/Y — Central Kalos)0007 (Let's Go Pikachu/Let's Go Eevee)0071 (The Isle of Armor),1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",44,198,292,48,90,214,65,121,251,50,94,218,64,119,249,43,81,203,314,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Wartortle,https://img.pokemondb.net/artwork/wartortle.jpg,0008,Water,Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs),1. TorrentRain Dish (hidden ability),0008 (Red/Blue/Yellow)0233 (Gold/Silver/Crystal)0008 (FireRed/LeafGreen)0238 (HeartGold/SoulSilver)0087 (X/Y — Central Kalos)0008 (Let's Go Pikachu/Let's Go Eevee)0072 (The Isle of Armor),"1 Defense, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",59,228,322,63,117,247,80,148,284,65,121,251,80,148,284,58,108,236,405,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
